term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-4031.476890693656,584.1513399294806,-6.901425392913317,2.5514533707229508e-11,-5180.506846871011,-2882.4469345163016
flipper_length_mm,40.70540077728064,3.0710197314090393,13.254685523822495,1.401599936110562e-32,34.66468251439571,46.74611904016557
speciesChinstrap penguin (Pygoscelis antarctica),-206.5101203397206,57.73064631062369,-3.5771316196354146,3.980985939156455e-4,-320.0667236822623,-92.95351699717891
speciesGentoo penguin (Pygoscelis papua),266.8096031792151,95.26374051545454,2.800746661169901,0.005391807625560176,79.42512914380879,454.1940772146214
